,accuracy,duration,dead_kernels,external_duration
0,0.75,22.365302801132202,[],25.777901649475098
1,0.75,22.52285408973694,[],26.45824885368347
2,0.875,23.256971836090088,[],26.823673009872437
3,0.9,23.180255651474,[],27.15197467803955
4,0.85,23.34924292564392,[],27.443130016326904
5,0.875,24.76184105873108,[],28.653268814086914
6,0.9,24.63421130180359,[],28.415746927261353
7,0.775,24.162972450256348,[],27.82392954826355
8,0.875,24.104024171829224,[],28.324387788772583
9,0.825,24.05302882194519,[],27.57163166999817
10,0.9,23.430220127105713,[],27.392166137695312
11,0.925,23.039026021957397,[],26.532686948776245
12,0.875,23.23415756225586,[],27.071577787399292
13,0.875,24.99112629890442,[],28.472440719604492
14,0.9,23.56031036376953,[],26.996628046035767
15,0.825,23.16131353378296,[],26.94049882888794
16,0.85,23.417452812194824,[],27.325190544128418
17,0.925,29.856332540512085,[],33.29990363121033
18,0.775,23.842998027801514,[],27.76974368095398
19,0.875,23.361291646957397,[],27.29627299308777
20,0.875,23.355778217315674,[],26.522685766220093
21,0.8,23.306018829345703,[],26.979949951171875
22,0.85,23.36129140853882,[],26.93131732940674
23,0.875,23.940219402313232,[],27.989697217941284
24,0.85,24.589852333068848,[],28.37755584716797
