,accuracy,duration
0,0.25,11.807809591293335
1,0.4,12.137250661849976
2,0.35,12.546366930007935
3,0.45,11.384404420852661
4,0.3,11.081358671188354
5,0.35,12.034556150436401
6,0.65,12.383870124816895
7,0.225,11.30391788482666
8,0.25,11.987026453018188
9,0.325,13.514370679855347
10,0.625,13.244205236434937
11,0.325,12.685053586959839
12,0.225,11.991294384002686
13,0.5,12.835529327392578
14,0.425,14.091381072998047
15,0.325,12.918753385543823
16,0.45,11.722333431243896
17,0.3,11.894458532333374
18,,13.49300217628479
19,0.25,26.816694021224976
20,0.625,21.158324480056763
21,0.425,16.96892237663269
22,0.225,18.942394256591797
23,0.325,16.446857452392578
24,0.275,16.20469832420349
25,0.225,18.079350471496582
26,0.575,17.21496081352234
27,0.5,18.80388617515564
28,0.425,17.54609441757202
29,0.275,16.21388077735901
30,0.325,16.26889133453369
31,0.225,17.42178726196289
32,0.325,16.726879596710205
33,0.4,17.312973737716675
34,0.825,16.796703815460205
35,0.225,16.71113634109497
36,0.55,16.845978021621704
37,0.325,16.730600833892822
38,0.225,17.763017177581787
39,0.5,17.120584726333618
40,0.325,16.898688554763794
41,0.225,17.22709012031555
42,0.45,16.0002920627594
43,0.35,15.88595724105835
44,0.5,17.08824396133423
45,0.275,16.529879093170166
46,0.35,15.997459888458252
47,0.675,16.9039306640625
48,0.275,16.54594397544861
49,0.3,16.28842258453369
